review,sentiment
"Bromwell High is a cartoon comedy. It ran at the same time as some other programs about school life, such as ""Teachers"". My 35 years in the teaching profession lead me to believe that Bromwell High's satire is much closer to reality than is ""Teachers"". The scramble to survive financially, the insightful students who can see right through their pathetic teachers' pomp, the pettiness of the whole situation, all remind me of the schools I knew and their students. When I saw the episode in which a student repeatedly tried to burn down the school, I immediately recalled ......... at .......... High. A classic line: INSPECTOR: I'm here to sack one of your teachers. STUDENT: Welcome to Bromwell High. I expect that many adults of my age think that Bromwell High is far fetched. What a pity that it isn't!",1
"Scott Bartlett's 'OffOn' is nine minutes of pure craziness. It is a full-frontal assault of psychedelic, pulsating, epilepsy-inducing flashing lights and colours, and the first true merging of film and video in avante-garde cinema. There's no story to speak of, but Bartlett uses images of nature  particularly the human face and form  to provoke a sequence of emotional reactions, integrating these biological phenomena into the highly-industrial form of modern technology. In a sense, the film represents the merging of humanity into his tools, his machinery, his technology. This theme connects loosely with the subplot of HAL9000 in Stanley Kubrick's '2001: A Space Odyssey (1968),' and, indeed, Bartlett's opening sequence of images  flashing colours before a close-up human eye  recalls Dave Bowman's journey through the Stargate. The visuals are richly-coloured, a confronting blend of sharp, vivid photography and increasingly-grainy video, as though we're sitting too close to a television screen {as a matter of fact, the end product was recorded from a TV monitor}.<br /><br />There appears to be some confusion about the film's release date. IMDb lists the film as a 1972 release, but both the National Film Registry and the National Film Preservation Foundation give 1968 as the correct year. Perhaps this disparity reflects the time between the film's completion and its first public screening. Either way, the visuals are distinctly ahead of their time, occasionally reminiscent of a 1980s music video, and some brisk techno music wouldn't have gone amiss, either! 'OffOn' captures grainy, fragmented images, presenting life from the warped perspective of a computer processing too much information. I had a thought  and please don't laugh at this free-thinking interpretation  that an extraterrestrial civilisation capturing Earth's television signals might very well receive such a disjointed, alien documentation of human life, a bizarre montage of only vaguely-familiar imagery that couldn't possibly make any coherent sense. Perhaps this is where Mankind, with all his technology, is eventually heading, towards an irreversible merging of film and video, of purity and artificiality.",1
"IMDb lists this as 1972 for some reason, but the other sources I've seen including the excellent program notes mark it as '68. Doesn't really matter, except that it's quite interesting to watch this abstract collage of film and video (one of the first art works to merge the two apparently) in the context of the Star Gate sequence in 2001, released the same year. Pure abstraction isn't really my thing, but I can take it in small doses and the super-saturated optically printed colors and psychedelic feel of this series of flowers, Rohrschach blots, birds, etc is pretty compelling and quite beautiful. Certainly helped paved the way for many other nascent video artists in the 70s, and deserves to be better known.",1
"I first heard about this film about 20 years ago when I was a kid in grade school(!), it just so happened that I was thumbing through the encyclopedias in the classroom one day, and under the entry for movies (or cinema, I don't remember), were several stills for different movies from mainstream to experimental, and one of them shown on the page was a still for OffOn. It really intrigued me, since it stood out the most on the page (it was a still from the film of the scene with the eye with other elements superimposed over it).<br /><br />About 18 or so years later, the public library here where I live had available for checkout the whole 4-DVD set of ""Treasures of American Film Archives"" released by the National Film Preservation Foundation. So when I was reading the notes on the DVD cases for the set, I was quite pleasantly surprised to see that OffOn was on one of the discs. After all these years, I could finally see the film! After viewing it, it slightly wasn't was I was expecting it to be (it tended to be a more organic-looking film, not that that's a bad thing, but I was expecting it to have a more electronic aesthetic), but it was still an impressive film, IMHO, considering the techniques Scott Bartlett used to make the film, including hand-tinting the film itself, and using video equipment for some of the film's scenes (filmed off of a video monitor), giving it a more distressed, lo-res look.<br /><br />Don't get me wrong, the techniques used in this film were quite ground-breaking for 1972. That's why it's still one of my favorite short/experimental films, and a creative inspiration for me as well...",1
"when i read other comment,i decided to watch this movie...<br /><br />First, cast specially Michael Madsen and Tamer Karadagli; good enough...<br /><br />Film,very intelligence and interesting because ,cast have a lot of international specially European actor and actress like from Turkey and Russsia...<br /><br />Second,Story is basic and you can guess but if you interesting action good play you'll like in my opinion...<br /><br />Third,Final chapter is not special or interesting,it's regular like other action movies...<br /><br />Finally,i recommend to watch this movie...And i hope You'll love it enjoy :D",1
"This movie had an interesting cast, it mat not have had an a list cast but the actors that were in this film did a good job. Im glad we have b grade movies like this one, the story is basic the actors are basic and so is the way they execute it, you don't need a million dollar budget to make a film just a mix of b list ordinary actors and a basic plot. I like the way they had the street to themselves and that there was no one else around and also what i though was interesting is that they didn't close down a café to set there gear and that they did it all from a police station. Arnold vosloo and Michael madsen did a great job at portraying there roles in the hostage situation. This was a great film and i hope to see more like it in the near future.",1
"Gotta start with Ed Furlong on this one. You gotta. God bless this kid. $5 bucks says the character he plays in this film is what he's really like in real life. He has a one-liner or two that made me almost blow snot because of the subtle humor in the script. You know all the trials this guy has gone through in recent years and it doesn't even seem like Furlong is even acting. Maybe that's why his performance was good. Same with Madsen. You keep thinking, ""I bet this guy is really like this in real life."" Does Madsen even have to act? Just natural. Vosloo has obviously moved on from the type-casted Mummy guy. I think the biggest surprise to this film was Jordana Spiro's performance. Her reactions are spot-on in this film. I battled if she was hot or not, but realized I would just like to see more of her. <br /><br />Not a big fan of shoot 'em out/hostage type films. But what I am a fan of are films with lots of twists and turns to try and keep you guessing. It's not just your standard robbers take over a bank, they kill hostages, and the good guys win in the end type of film. The twists keep on coming...and coming.<br /><br />The café scenes work best with the hand-held cams to show what it's really like in there. Not glossed over a bit. Think like Bourne Ultimatum ""lite"" style on some scenes in the café.<br /><br />And for those Bo Bice fanatics out there - actor Curtis Wayne (who plays Karl) will make you do a double take. These guys are twins.<br /><br />As I watched I wondered why some of the actors had foreign accents and what were they doing in this small town. Made sense in the end that these people smuggled stuff to other countries/states so they might have these accents. But more is revealed in the bonus features of how some of the producers wanted to make this film for International audiences with some of their stars we might not have heard of. And some of them are smoking hot. Moncia Dean? Need I say more.",1
"The first von Trier movie i've ever seen was breaking the waves. Sure a nice movie but it definitely stands in the shadow of europa. Europa tells a story of a young German-American who wants to experience Germany just after the second world war. He takes a job that his uncle has arranged for him as a purser on a luxues train. Because of his job, he travels all through an almost totally destroyed germany, meeting with the killing of traitors, and hunt for former nazi party members. The society is suffering from corruption. His uncle has narrowed his conciousness by focussing on the job he has also as a purser on the train. By coincidence the main character get involved in bombing and terrorism by a group called 'werewolves' they put pressure on him to help them placing bombs on trains. The atmosphere is astounding. The viewer is taken from scene to scene by a man attempting to put the viewer under hypnosis and then counting to wake you up in a new scene. Just when you think you've seen a lot!!!!!!! europe!!",1
"Lars Von Triers Europa is an extremely good film. How's that? Von Trier has a very stylized way to tell a story, at least he did have with Europa. To me the whole film was like an experience even if I did see it on a small television screen. Even with all the tricks, in my opinion, this film is the most complete, REAL and moving piece of cinema then most of the films on the top 250 list. I also think it is perhaps the scariest, the most gothic and complete film around. All right there are other good ones too, but this one is my favorite. The final scene is one of the most harrowing scenes ever.",1
"`Europa' (or, as it is also known, `Zentropa') is one of the most visually stunning films I have ever seen. The blend of grayscale and colour photography is near seamless... a true feast for the eyes. The picture was a contender for a 1991's Golden Palm in Canners. The award went to Barton Fink (by Coen brothers); a film stylistically very similar to Zentropa. Here's an exercise in class: rent both films and be a judge for yourself.",1
"This is the movie for those who believe cinema is the seventh art, not an entertainment business. Lars von Trier creates a noir atmosphere of post-war Germany utterly captivating. You get absorbed into the dream and you're let go only at the end credits. The plot necessarily comes second, but it still is a thrilling story with tough issues being raised. Just wonderful.",1
"I'm a male, not given to women's movies, but this is really a well done special story. I have no personal love for Jane Fonda as a person but she does one Hell of a fine job, while DeNiro is his usual superb self. Everything is so well done: acting, directing, visuals, settings, photography, casting. If you can enjoy a story of real people and real love - this is a winner.",1
"This is the definite Lars von Trier Movie, my favorite, I rank it higher than ""Breaking the waves"" or the latest ""Dancer in the Dark""... I simply love the beauty of the picture...the framing is so original; acting is wonderful, A MUST SEE.",1
"Before Dogma 95: when Lars used movies as art, not just a story. A beautiful painting about love and death. This is one of my favorite movies of all time. The color... The music... Just perfect.",1
"EUROPA (ZENTROPA) is a masterpiece that gives the viewer the excitement that must have come with the birth of the narrative film nearly a century ago. This film is truly unique, and a work of genius. The camerawork and the editing are brilliant, and combined with the narrative tropes of alienation used in the film, creates an eerie and unforgettable cinematic experience.<br /><br />The participation of Barbara Suwkowa and Eddie Constantine in the cast are two guilty pleasures that should be seen and enjoyed. Max Von Sydow provides his great voice as the narrator.<br /><br />A one of a kind movie! Four stars (highest rating).",1
"I haven't seen this movie in about 5 years, but it still haunts me. <br /><br />When asked about my favorite films, this is the one that I seem to always mention first. There are certain films (works of art like this film, ""Dark City"", and ""Breaking the Waves"") that seem to touch a place within you, a place so protected and hidden and yet so sensitive, that they make a lifelong impression on the viewer, not unlike a life-changing event, such as the ending of a serious relationship or the death of a friend... This film ""shook"" me when I first saw it. It left me with an emotional hangover that lasted for several days.",1
"As much as the movie was good, i have nothing more to say about it than what was said already. all i wanted is to point the fact that the movie isnt from Sweden but from Denemark. Maybe I wrong and in that case i'll be happy to know my mistakes so take the and notify me.",1
"Piece of subtle art. Maybe a masterpiece. Doubtlessly a special story about the ambiguity of existence. Tale in Kafka style about impossibility of victory or surviving in a perpetual strange world. The life is, in this film, only exercise of adaptation. Lesson about limits and original sin, about the frailty of innocence and error of his ways.<br /><br />Leopold Kessle is another Joseph K. Images of Trial and same ambiguous woman. And Europa is symbol of basic crisis who has many aspects like chimeric wars or unavailing search of truth/essence/golden age.<br /><br />Methaphor or parable, the movie is history of disappointed's evolution. War, peace, business or lie are only details of gelatin-time. Hypocrisy is a mask. Love- a convention. The sacrifice- only method to hope understanding a painful reality.",1
